text,SVM_TFIDF,annotation,sentiment,ENSEMBLE_TFIDF,ENSEMBLE_W2V,SVM_W2V,KNN_TFIDF,KNN_W2V,NV_TFIDF,NV_W2V,RF_TFIDF,RF_W2V
best way to build empathy is through honesty and vulnerability ,1,0,0.02241917,1,1,0,1,1,1,0,1,0
cryptocurrency scams replacing ransomware as attackers  fave   ,0,0,0.11482139,0,0,0,0,0,0,0,0,0
cryptocurrency scams replacing ransomware as attackers   fave ,0,0,0.11482139,0,0,0,0,0,0,0,0,0
protect  your customers  access prestashop anti ddos attack  prestashop  ,0,1,0.34471422,0,0,0,1,0,0,0,0,0
data leak from huazhu hotels may affect 130 million customers ,1,1,0.8444199,1,1,1,1,1,1,1,1,1
instagram app 41 1788 50991 0  denial of  service   packetstorm,0,1,0.8119633,0,0,0,0,0,0,0,0,0
 good slides     the advanced exploitation of 64 bit edge browser use after free vulnerability on windows 10     windows10  vulnerability,0,1,0.20085432,0,0,0,0,0,0,0,0,0
cve 2018 100532  beep   version 1 3 and up contains a external control of file name or path vulnerability in   ,0,1,0.268751,0,0,0,0,0,0,0,0,0
will upload some of yesterdayis videos which died during the latest ddos ,0,1,0.8096831,0,0,0,0,0,0,0,0,0
well you still protect them ransomware offline apophissquad tangodown,0,0,0.3327017,0,0,0,0,0,0,0,0,0
you can   t get to courage without walking through vulnerability,1,0,0.53815037,1,1,1,0,0,1,1,0,0
how sql injection hacks work  ehi ,1,0,0.72583586,1,1,1,1,1,1,1,1,1
openssh vulnerability affecting all versions back to 199    openssh  vulnerability  security ,0,1,0.8370089,0,0,0,1,0,0,1,0,1
law in fiserv banking platform exposed personal data   cybersecurity  vulnerability  databreach  ,0,1,0.36287227,0,0,0,0,0,0,0,0,0
hmc says ransomware attack turned into healthcare data breach   healthcaredatasecurity  hospitalransomware  healthcaredatabreach  by ,0,1,0.8473654,0,0,0,1,0,0,0,0,0
looks like we were ddos d over 10gbit  someone loves us  data center is fixing their shit now  ,1,1,0.6506745,1,1,1,1,1,1,0,0,0
work on  ransomware  trends in design of ransomware  viruses  ransomware is not generally a virus ,1,0,0.4822355,1,1,1,1,1,1,1,1,1
   winning   the solution is fantastic for unstructured data classification  identifying excessive permissions and stale data ,1,0,0.030684672,1,0,0,1,0,0,1,0,1
  yes george you can come ddos on release with your non existant ovh bypass ,0,0,0.06398726,0,0,0,0,0,0,0,0,0
add a  datto backup  amp  disaster recovery solution to protect your  data  be proactive  defend against  ransomware ,1,0,0.15248063,1,1,1,1,1,1,0,1,1
 cryptocurrency scams replacing  ransomware as attackers  fave ,0,0,0.11482139,0,0,0,0,1,0,0,0,0
boi we ddos by and my unseen and you even woke up and get access to this is prolly macers happened yet people hurt me bitch in no rest of,0,0,0.7679131,0,0,0,0,0,0,0,0,0
 anyways  thanks for being open and honest and sharing your journey  vulnerability  maybe one day i can share a story like yours from a much healthier point of view of recovery and healing  glad you made it     ,0,0,0.0011154716,0,1,1,0,0,0,1,0,1
vulnerability is a gift and don   t let anyone tell you otherwise,1,0,0.060494676,1,1,1,1,1,1,1,1,1
love   vulnerability   companionship   sacrifice   good luck you brave souls,1,0,0.06137542,0,0,1,1,0,0,0,0,0
 insight  into home automation reveals vulnerability in simple iot product   mcafee blogs   iammcafee ,0,1,0.14282511,0,0,0,0,0,0,1,0,0
  ddos narr   that to lame  im a come and jack your db and shutdown strivepvp  but only if your still there platform  someone told me u maybe selling ur   thank god ,0,1,0.23939075,0,0,0,0,0,0,0,0,0
50  off new family pack 2019 protects all windows  mac os  ios  amp  android devices in your household  protect your family from e threats with advanced parental controls improved shop  amp  bank online without worries   security  parenting  ransomware  protection ,1,0,0.5579969,1,1,1,1,1,1,1,1,1
microsoft windows zero day vulnerability disclosed through twitter   zdnet ,1,1,0.3096833,0,0,0,0,0,0,1,1,1
 personnel security programs have great challenge in changeability of threat vulnerability risk assessment for person x situation interactions through time ,0,0,0.32045734,0,0,0,0,0,0,0,0,0
idea for ddos protection  have web browser mine some bitcoins before allowing client to proceed ,0,0,0.21129824,0,0,0,0,0,0,0,0,0
cryptocurrency scams replacing ransomware as attackers  fave ,0,0,0.11482139,0,0,0,0,0,0,0,0,0
last day of  ausnog  grab a coffee and a donut on us   and drop by booth 3 for a chat on  ddos protection   network with our  nttict team   ,1,0,0.5745097,1,1,1,1,1,1,1,1,1
xss vulnerability in universal studios singaporeis website ,1,1,0.16037329,1,1,1,1,1,1,1,1,1
important fact    cybersecurity is everyone is problem  do not think your business is too small to be a target ,0,0,0.37811702,0,0,0,0,0,0,0,0,0
we are currently working on dealing with these relentless ddos attacks  i will update you guys soon ,0,1,0.12751004,0,0,0,0,0,0,0,0,0
rce affecting a huge number of hp printers  lots are internet connected  ,0,1,0.522563,0,0,1,0,0,0,0,0,0
servers    substantially    restored after  250k ransom demand in coweta   malware  ransomware  exploit ,0,1,0.59015757,0,0,0,0,0,0,0,0,0
